sex,age,Medu,Fedu,studytime,failures,famrel,freetime,health,absences,address,guardian,G3
M,18,1,1,4,1,5,5,4,15,U,mother,14
F,19,0,0,3,0,1,5,3,1,U,mother,13
F,18,0,2,3,1,5,3,5,22,U,other,9
F,17,3,1,4,3,5,2,1,8,R,mother,10
F,15,1,2,2,1,3,1,1,26,U,other,7
M,19,3,4,2,2,2,4,2,2,R,mother,13
F,17,3,1,2,0,1,4,4,12,U,mother,12
F,18,0,3,3,3,3,3,2,5,R,mother,11
M,19,2,4,2,1,1,3,5,17,U,other,12
M,20,2,3,2,1,4,2,2,0,R,mother,16
F,20,3,1,4,2,5,1,1,7,U,mother,13
M,18,2,3,3,0,2,1,2,20,R,other,12
F,19,2,2,2,2,1,1,2,4,R,father,11
M,17,0,3,3,2,2,2,5,22,R,other,7
F,20,4,3,4,0,4,3,1,1,R,mother,11
F,21,4,0,4,1,2,2,5,19,U,father,11
M,16,2,2,2,0,4,2,1,25,U,mother,8
F,15,2,2,4,2,2,1,1,9,U,father,16
F,15,1,1,2,0,3,5,1,18,R,mother,8
F,15,0,0,3,1,3,4,3,18,U,mother,7
M,15,2,1,1,0,5,2,4,15,U,father,13
M,21,2,1,4,3,4,4,4,27,R,father,10
F,18,2,2,1,0,1,3,2,28,U,mother,6
M,20,0,0,4,3,5,2,1,3,U,mother,8
M,21,4,4,3,0,4,3,3,14,U,mother,14
F,15,4,1,1,2,3,3,1,24,R,other,10
F,15,2,2,2,3,3,5,4,29,U,father,10
F,20,3,3,4,3,4,2,1,11,R,mother,13
F,19,1,4,4,0,1,5,5,25,U,father,12
M,21,2,1,1,1,5,2,1,14,R,other,8
F,18,4,1,4,0,4,3,1,18,U,father,16
M,16,0,3,4,1,5,1,3,8,R,mother,11
M,19,1,2,2,3,5,4,5,9,U,father,6
M,19,2,2,4,1,4,4,5,20,U,other,11
M,20,3,4,1,3,3,5,2,1,U,mother,12
M,15,4,3,4,3,5,5,2,19,R,other,11
M,15,3,1,3,2,2,5,2,21,U,father,8
M,17,0,0,3,3,3,5,5,15,U,mother,7
F,21,1,2,1,3,2,1,2,8,U,other,13
M,20,0,3,4,2,4,1,4,27,R,mother,9
M,20,4,3,1,2,5,1,1,11,U,other,9
M,15,4,1,3,1,5,3,4,21,R,mother,10
F,15,4,3,4,3,5,4,3,24,U,other,12
M,15,2,1,2,0,5,5,4,24,R,other,12
F,21,4,3,2,2,5,4,4,19,R,other,10
M,20,0,3,1,0,1,3,5,1,U,mother,12
M,18,0,1,3,0,4,2,4,17,R,father,10
M,20,3,2,4,1,2,2,4,26,U,other,9
F,16,4,3,2,1,2,2,3,13,U,father,13
F,19,3,4,1,2,2,4,3,20,R,mother,12
F,16,0,4,3,1,1,1,1,29,R,father,11
F,18,1,1,4,1,1,4,1,19,R,father,10
M,15,3,3,3,1,3,1,2,24,U,other,11
F,17,1,4,4,3,2,4,2,13,R,other,8
F,18,0,0,3,0,5,5,3,14,U,other,11
M,18,0,3,4,0,3,1,1,3,R,mother,11
F,19,1,1,4,1,5,4,2,29,U,other,12
M,21,0,3,2,1,1,5,2,23,U,mother,8
M,16,1,2,4,1,4,4,1,17,U,mother,8
F,17,2,0,2,3,2,3,5,13,R,father,9
M,17,4,1,4,2,1,3,2,9,R,father,11
F,20,2,0,1,3,3,4,3,13,U,father,7
F,21,0,2,1,1,3,3,1,10,U,father,8
F,16,1,2,4,2,5,2,2,16,U,other,10
F,20,3,2,3,3,5,1,1,29,U,mother,10
F,16,2,0,2,2,2,3,1,26,U,father,13
F,19,1,0,4,1,3,5,3,2,U,father,8
M,15,0,3,2,0,2,2,4,28,R,other,9
F,16,4,4,2,2,5,5,1,29,R,other,13
M,16,2,3,2,1,3,5,4,24,R,father,8
F,16,0,0,4,2,4,3,4,28,U,mother,6
F,15,1,4,2,1,5,1,5,25,U,other,12
F,20,3,4,2,1,5,1,5,28,R,mother,11
F,18,0,2,4,0,2,1,4,5,R,mother,10
F,20,2,1,1,1,1,1,3,26,R,mother,8
M,20,4,1,4,2,5,2,2,5,U,mother,14
F,17,2,3,3,1,4,1,5,17,R,father,10
M,19,0,4,3,2,5,5,2,14,R,other,14
M,19,3,4,3,3,5,1,1,15,R,mother,9
F,16,3,3,4,1,4,2,1,0,U,father,9
F,19,1,0,2,3,3,2,4,8,U,other,9
F,20,3,0,4,3,1,3,2,26,U,mother,9
M,21,4,4,1,1,2,5,4,8,U,mother,9
M,19,2,1,4,3,2,3,4,23,R,other,8
F,20,1,4,2,1,2,3,2,18,R,other,8
F,18,4,3,1,1,4,2,4,11,R,other,9
M,17,1,2,2,1,2,5,3,8,U,mother,9
M,16,1,0,2,0,3,5,1,21,R,other,9
F,16,0,2,4,1,5,5,4,20,U,mother,8
M,17,1,0,4,3,2,3,1,27,R,father,13
M,21,2,2,1,1,5,3,2,7,R,father,12
F,16,0,4,2,1,1,2,1,25,R,mother,10
F,20,0,0,3,1,3,3,3,26,R,other,6
F,20,0,0,4,1,5,4,2,13,R,father,11
M,20,3,0,3,1,1,2,1,20,R,father,8
M,20,2,4,1,1,3,1,3,13,U,other,9
F,21,2,4,1,1,3,4,2,13,R,other,12
F,17,2,2,1,0,1,2,3,17,R,other,8
F,20,3,2,4,3,3,1,1,20,U,father,12
M,18,2,3,1,3,2,2,3,17,U,mother,9
F,17,3,3,4,2,1,2,2,23,U,other,11
F,17,1,4,1,1,4,5,5,29,U,father,9
F,19,1,4,4,3,1,4,1,12,U,mother,12
M,17,3,4,4,3,1,4,1,2,U,other,14
M,19,0,3,4,1,1,3,1,9,R,mother,13
M,19,0,3,1,1,1,4,1,11,U,mother,13
F,16,3,3,3,1,5,2,4,15,R,other,14
M,20,3,1,3,1,4,5,1,20,R,mother,12
M,16,2,1,3,2,3,3,3,11,R,mother,7
M,19,1,3,2,0,3,2,4,8,R,other,11
F,15,3,0,2,3,2,4,3,13,R,father,8
F,17,3,2,2,1,2,4,1,18,U,father,13
F,16,4,4,2,3,3,3,1,15,R,other,9
M,19,3,4,4,1,4,4,5,12,R,other,11
M,19,1,2,4,2,2,5,4,27,U,mother,9
F,19,1,4,1,3,5,3,1,20,R,mother,7
F,15,0,4,4,0,2,1,3,5,U,other,11
M,20,2,2,4,3,4,1,2,1,R,mother,10
M,15,1,3,3,3,4,3,3,0,U,mother,11
M,17,1,1,2,2,3,1,1,2,R,mother,10
F,21,0,0,4,1,1,2,2,4,U,other,8
M,21,2,1,1,3,1,5,5,19,R,other,13
M,15,0,2,3,1,2,3,1,27,U,other,11
F,21,0,2,1,1,1,2,1,9,R,mother,11
F,17,4,3,3,3,1,3,1,13,R,mother,10
F,19,4,3,4,3,4,4,1,28,R,mother,10
M,18,3,4,3,3,4,1,2,21,U,mother,8
M,20,4,2,4,0,3,3,3,1,R,other,15
M,19,2,3,1,3,2,1,2,14,R,other,9
M,15,1,3,3,3,1,2,3,22,U,father,9
M,15,1,3,3,3,1,4,2,22,R,mother,11
M,19,4,0,3,3,5,5,4,24,U,father,14
M,20,2,2,2,1,2,3,3,16,U,father,9
M,18,3,1,4,1,4,4,4,10,R,mother,15
M,17,4,2,4,3,2,5,2,8,R,other,11
M,15,1,0,4,1,4,3,1,19,U,father,14
M,20,4,4,4,0,5,5,2,8,U,mother,13
F,17,0,3,3,0,5,4,2,29,R,other,9
M,16,4,3,2,1,3,1,5,4,R,father,13
M,18,4,3,1,1,3,3,4,19,R,mother,11
M,18,3,1,4,3,1,2,3,6,U,other,15
F,17,4,0,2,2,5,1,1,9,U,other,9
M,17,2,0,2,1,5,3,2,15,U,other,8
M,21,3,1,4,2,5,2,3,25,R,mother,9
F,15,2,2,4,0,4,2,1,8,U,other,17
F,16,0,3,2,0,1,4,4,23,R,other,11
M,19,4,1,1,1,5,3,3,17,R,mother,9
M,19,2,2,3,2,5,3,3,22,U,father,8
F,16,3,2,4,3,5,5,2,27,R,other,13
F,20,2,3,3,3,3,4,2,7,R,father,10
M,15,0,0,3,0,3,2,2,6,U,mother,11
M,16,1,0,4,2,5,1,4,22,R,mother,7
M,19,0,1,1,2,2,5,3,28,R,other,6
F,17,4,4,4,2,5,1,1,24,U,mother,12
F,18,3,0,4,3,5,2,3,6,R,other,13
M,20,1,1,1,2,3,1,4,26,R,other,6
F,17,2,3,2,2,1,3,4,2,U,other,11
M,18,3,1,1,0,1,5,3,11,R,other,10
M,15,4,4,1,0,3,3,3,29,R,other,12
F,17,2,3,1,1,5,1,2,24,R,mother,8
F,15,3,0,3,2,2,3,5,16,U,mother,10
M,20,1,4,3,1,3,4,2,2,U,father,12
M,18,0,1,2,2,3,3,3,0,R,father,10
M,18,0,3,1,1,5,4,1,0,R,mother,12
M,20,1,0,1,0,5,4,5,13,U,mother,14
F,17,0,0,3,3,1,4,3,23,U,other,7
F,17,1,0,1,2,1,3,4,1,U,other,8
M,18,1,1,1,3,4,3,2,24,R,father,10
F,15,1,2,1,0,4,4,2,0,R,other,11
F,15,3,0,2,0,4,1,1,26,R,mother,9
F,16,0,2,4,1,5,5,5,21,U,father,12
M,19,2,4,4,2,4,5,5,6,U,mother,12
F,19,3,3,3,3,5,5,3,11,R,other,13
F,17,0,4,1,1,5,3,1,14,U,mother,13
F,15,4,0,3,1,5,4,5,22,R,father,13
F,21,1,1,4,3,4,3,5,13,U,mother,10
F,15,4,1,1,2,2,5,5,22,R,father,8
F,17,2,4,2,1,1,2,1,1,U,other,14
M,16,4,1,4,0,4,2,2,19,R,father,16
F,15,3,1,3,1,2,4,2,8,R,mother,9
F,21,0,0,4,0,4,2,4,2,R,other,10
M,17,3,1,4,1,5,1,2,18,U,other,9
M,15,4,2,2,1,3,1,2,9,U,father,13
M,17,0,3,2,0,5,4,3,8,R,mother,10
M,17,2,0,3,0,1,5,2,0,U,other,11
F,20,1,4,2,1,1,1,3,2,R,father,10
F,16,0,2,1,1,3,4,2,26,U,father,10
M,20,2,1,3,3,1,2,3,10,U,father,11
F,19,3,1,1,1,3,3,4,9,R,other,8
F,18,4,1,1,1,2,1,4,21,R,father,9
F,18,0,1,3,0,5,3,4,19,U,other,10
F,18,0,0,1,1,1,1,4,8,U,other,15
F,15,0,3,1,3,2,4,4,15,U,father,10
F,17,2,4,2,1,3,5,2,4,R,father,10
F,20,3,3,1,2,3,4,3,3,U,other,11
F,20,0,3,2,3,5,2,2,21,R,father,12
F,19,1,3,1,0,5,3,4,4,R,other,13
F,20,2,3,3,3,3,2,3,21,R,mother,8
M,19,0,4,2,3,5,5,3,12,R,other,6
M,15,4,2,1,3,4,4,5,0,U,mother,10
F,16,1,4,2,3,4,5,5,25,R,other,13
M,20,3,2,1,3,5,4,3,4,U,father,11
M,19,1,1,3,3,1,5,2,17,R,father,9
F,21,4,3,1,2,1,1,4,0,U,mother,11
F,19,4,4,4,1,1,5,5,18,U,mother,12
F,20,4,1,4,0,2,4,2,15,R,mother,12
F,17,0,0,1,0,1,3,5,4,U,father,14
F,17,2,1,2,2,1,2,4,25,U,father,9
F,16,0,4,4,1,2,5,5,21,R,other,9
F,16,1,3,3,3,5,4,2,0,U,mother,10
F,19,3,2,1,1,5,4,3,12,R,other,12
F,15,0,2,3,0,1,3,5,15,U,father,13
M,21,4,1,2,1,1,3,3,28,U,father,11
F,16,3,2,2,2,4,3,1,10,U,other,14
F,15,1,4,2,2,3,1,2,19,U,father,12
M,18,1,4,1,3,4,5,5,20,U,father,12
M,18,0,3,1,0,1,1,1,3,U,other,11
F,21,2,1,2,3,1,4,2,12,U,father,10
M,17,4,1,4,0,3,1,3,8,U,other,10
M,17,4,2,1,2,3,3,2,4,U,other,7
M,18,0,4,4,3,5,2,1,1,U,father,11
M,19,0,4,4,3,4,4,2,23,R,father,14
F,20,1,3,4,0,3,3,1,5,U,other,10
F,17,1,3,1,2,1,3,3,0,U,father,14
M,16,0,1,1,2,1,2,1,15,U,mother,10
F,16,3,1,1,3,3,5,2,20,R,other,9
F,15,2,3,4,2,4,2,3,3,U,other,12
F,19,2,1,1,0,5,3,4,29,R,father,11
F,15,4,1,4,2,1,1,4,27,U,mother,11
M,19,2,1,2,2,1,3,2,24,U,father,11
F,17,1,4,3,3,3,2,4,0,U,mother,15
M,21,3,2,2,2,1,4,1,18,U,other,9
F,19,4,3,3,2,3,1,2,1,U,mother,12
F,19,1,2,3,3,4,1,5,16,U,mother,9
F,21,4,4,1,1,4,3,2,17,R,other,10
F,19,3,1,2,1,3,3,3,18,R,other,9
F,21,1,2,2,2,4,4,5,17,U,other,11
M,20,2,2,4,3,3,2,3,26,R,other,10
M,17,3,0,4,0,4,4,4,16,U,father,14
F,19,1,3,4,2,5,5,1,4,U,father,13
M,15,0,0,4,3,2,5,1,8,U,father,10
F,15,2,2,2,3,2,5,2,2,R,mother,10
F,18,3,4,2,2,5,2,5,3,U,father,12
M,18,0,2,3,2,4,5,2,3,R,father,9
M,17,3,4,4,1,5,5,1,18,U,other,18
F,17,3,3,3,1,5,5,3,16,U,mother,11
F,16,2,1,4,3,3,1,3,14,U,other,7
F,20,4,3,4,2,3,4,1,7,R,mother,10
F,19,1,4,4,0,3,5,3,25,U,other,14
M,17,1,2,1,2,2,3,5,0,R,father,9
M,15,4,0,1,1,3,1,2,12,U,mother,8
M,15,4,4,4,1,3,4,2,27,R,mother,11
F,20,1,1,1,0,1,1,1,7,R,mother,13
M,21,1,1,1,2,3,5,4,6,U,father,10
M,21,3,0,1,3,4,1,4,25,U,other,7
F,18,2,1,4,1,2,5,1,18,U,father,10
M,17,1,2,1,2,1,2,3,18,R,father,8
M,19,1,0,3,0,4,3,5,21,U,mother,14
M,17,0,0,3,3,5,4,1,26,U,mother,7
F,21,3,1,3,2,4,4,5,14,R,other,9
M,15,3,0,3,2,3,1,4,25,U,other,8
M,16,2,1,3,0,4,3,3,16,U,other,12
F,20,3,4,2,0,1,4,4,18,U,mother,11
M,16,1,3,1,2,3,5,2,19,U,father,12
M,16,1,0,1,3,1,4,2,0,R,other,6
F,20,2,3,1,2,3,1,1,0,U,mother,10
M,21,3,2,2,2,4,4,1,23,R,other,5
F,19,2,3,1,2,4,5,1,24,R,other,10
M,16,3,4,1,0,3,5,2,7,U,mother,14
F,20,1,0,1,0,5,4,1,29,U,other,6
M,21,4,2,4,1,1,2,5,24,U,other,13
F,16,2,3,2,2,3,3,3,5,U,other,9
M,18,2,3,3,1,4,5,1,13,R,father,12
M,20,0,1,1,3,4,5,5,26,R,father,8
M,16,3,1,2,1,1,4,5,13,U,other,11
M,21,3,1,3,1,2,1,1,0,R,other,12
M,19,3,1,1,1,5,4,5,2,R,other,13
F,16,1,2,1,2,3,3,4,27,R,other,12
F,16,3,1,2,0,4,4,1,29,U,other,10
M,15,4,0,2,1,1,4,3,25,U,father,7
M,18,4,3,2,0,3,5,3,29,R,mother,9
M,16,1,1,2,1,1,5,2,22,U,father,8
F,18,3,0,1,2,5,4,4,16,R,other,10
M,16,1,4,3,0,1,5,2,0,U,other,12
M,21,1,3,3,0,4,3,1,12,U,mother,8
F,15,2,3,1,1,2,5,1,0,R,father,14
F,15,0,1,3,1,1,5,4,23,R,mother,10
M,20,0,1,3,2,2,3,5,4,U,mother,10
F,15,0,4,1,1,2,5,3,28,U,father,8
F,19,2,0,1,0,3,3,1,4,R,mother,13
M,20,2,0,3,3,5,3,1,21,R,other,10
M,18,1,4,4,2,5,2,5,6,U,other,10
M,18,2,0,3,0,3,3,2,22,U,father,12
M,15,4,4,3,0,2,3,4,11,R,mother,12
M,21,2,0,4,2,5,4,4,19,U,mother,13
F,15,1,0,1,1,1,1,2,12,R,mother,9
F,19,2,1,4,3,4,3,3,14,R,father,10
F,15,3,1,4,2,5,4,3,22,U,other,9
F,15,1,0,1,2,4,3,5,2,R,mother,9
M,18,2,3,4,1,3,4,1,18,R,father,10
M,17,0,1,2,1,5,4,1,4,U,mother,10
F,20,3,2,3,2,3,3,5,0,R,other,10
M,19,4,1,4,0,3,3,5,11,R,other,13
F,17,1,4,1,1,4,1,1,2,U,mother,10
F,18,1,3,3,1,4,1,2,3,R,mother,9
F,18,2,4,1,1,2,5,3,18,U,other,12
F,20,3,1,1,2,4,5,3,25,U,mother,9
M,18,2,0,3,2,2,4,1,5,U,father,9
M,16,1,0,3,3,5,4,5,8,U,other,8
M,16,1,1,3,0,3,1,5,28,U,father,11
F,18,4,4,2,2,4,5,3,28,U,father,11
M,15,4,1,2,2,1,5,3,0,R,mother,8
F,18,4,3,4,2,5,4,3,8,U,mother,11
M,17,1,0,3,2,3,4,3,18,U,other,14
F,17,0,3,3,3,2,3,5,20,R,other,8
F,17,1,3,1,0,4,4,3,6,U,father,11
M,20,0,2,1,1,4,4,5,17,R,mother,10
M,15,2,0,4,2,4,2,5,26,U,other,10
F,18,0,4,4,3,5,5,1,21,R,other,7
M,21,3,0,1,2,1,2,2,12,U,mother,9
M,17,4,2,3,1,1,4,5,22,U,other,13
M,15,0,3,4,3,3,5,3,6,R,father,13
F,20,2,4,4,1,2,5,5,16,U,father,13
F,18,0,3,2,2,3,1,2,27,U,mother,10
F,16,4,2,4,2,2,4,3,28,U,mother,12
M,15,0,4,2,2,5,1,4,12,R,other,11
M,21,1,1,2,3,5,1,5,4,R,father,6
F,17,4,3,1,3,5,5,1,14,R,mother,8
M,17,2,3,2,0,3,3,2,14,U,father,12
F,20,4,0,3,3,4,3,3,29,U,father,9
M,17,2,3,2,0,4,2,3,9,R,mother,13
F,16,2,2,2,2,5,1,3,3,R,mother,11
M,19,3,3,3,0,4,1,5,1,U,mother,13
M,19,4,0,4,2,2,2,4,6,R,father,13
F,15,3,2,3,2,2,2,4,24,R,father,11
M,16,3,1,3,2,3,1,2,0,R,mother,9
F,16,3,0,4,2,3,2,3,13,R,other,14
F,18,2,4,2,1,1,1,1,12,U,other,9
M,21,4,1,4,3,3,3,2,28,U,father,11
M,17,4,4,4,3,3,2,5,26,R,other,8
M,21,2,4,2,2,5,5,3,8,U,mother,11
F,18,4,3,2,1,4,2,4,15,U,other,12
F,19,3,0,2,1,2,1,5,8,R,mother,9
F,19,0,2,2,2,5,5,5,8,R,mother,10
M,19,0,4,4,0,5,4,3,13,R,other,11
M,19,2,0,3,1,4,3,5,3,R,mother,15
M,20,0,1,3,2,3,3,4,25,R,other,12
F,20,2,1,4,3,4,1,3,21,U,father,11
F,19,1,4,2,0,4,3,1,11,R,other,13
M,16,0,0,2,0,2,4,4,16,U,father,11
M,18,1,4,2,2,5,1,2,7,U,mother,12
F,16,1,2,4,3,2,4,5,28,U,father,14
M,18,4,2,1,3,4,5,1,27,R,other,10
M,17,4,3,3,1,4,1,4,19,U,mother,11
F,18,0,0,2,0,3,4,2,8,U,other,14
M,19,2,0,4,1,3,4,2,10,R,father,14
M,17,3,3,4,0,5,5,2,26,R,mother,14
F,17,4,3,1,2,3,3,1,6,U,mother,11
F,18,3,2,2,2,2,3,1,2,R,mother,11
F,17,1,4,2,0,1,1,3,21,U,father,10
F,17,3,2,4,0,1,3,4,22,U,father,9
F,16,1,1,4,0,2,3,2,3,R,father,12
F,16,1,0,1,0,4,5,1,27,R,father,14
F,18,4,4,3,2,5,1,2,8,U,other,12
F,20,3,3,2,0,3,2,4,16,U,mother,12
M,20,0,2,3,3,4,3,3,0,R,mother,8
F,21,0,2,2,2,3,5,3,26,U,mother,13
M,17,4,4,2,0,5,3,2,14,U,mother,13
M,16,2,0,3,1,2,5,4,1,U,mother,16
F,19,4,2,2,3,3,5,3,11,R,father,12
F,19,1,4,2,0,1,4,5,1,R,father,15
F,17,0,1,2,2,2,1,5,24,U,father,8
F,17,1,2,3,3,5,2,1,25,R,father,9
M,21,0,2,3,2,5,3,5,5,R,father,13
F,16,4,3,4,2,4,3,3,3,R,mother,12
F,16,3,2,3,2,1,4,3,20,U,father,6
M,15,4,4,3,2,1,4,1,27,U,other,9
F,20,4,4,3,1,5,3,5,22,U,mother,13
M,15,2,1,4,1,4,5,5,7,R,mother,11
M,15,2,3,3,0,3,3,1,1,U,other,14
F,19,0,4,4,3,1,3,5,6,U,mother,11
M,20,0,3,2,0,1,3,5,21,U,other,13
M,17,3,1,3,3,3,3,4,9,U,father,13
M,15,0,0,2,3,2,4,4,17,R,mother,7
F,19,1,2,1,2,3,5,2,12,U,other,12
M,19,1,3,4,2,2,1,2,17,U,other,8
F,16,3,4,1,3,5,2,2,14,R,mother,12
M,17,0,1,4,0,3,4,5,28,R,other,12
M,16,4,4,1,1,5,3,2,26,R,other,13
F,15,3,2,4,1,4,5,3,13,U,other,7
M,17,0,1,4,3,4,5,1,12,U,other,11
M,15,0,4,1,2,5,5,5,13,R,mother,8
M,19,4,3,4,0,2,3,4,24,U,father,10
F,17,0,1,3,0,1,3,2,0,U,other,11
M,16,1,1,4,0,1,4,4,25,U,mother,12
M,17,4,3,4,3,3,5,2,5,U,mother,14
F,18,0,2,3,0,2,4,1,9,U,other,12
M,15,4,2,1,2,2,2,5,1,U,father,12
F,16,3,3,3,3,4,4,5,26,R,mother,11
M,15,1,0,2,2,1,2,4,23,R,mother,7
F,20,3,2,3,1,3,1,1,14,R,father,9
M,15,1,3,3,1,1,3,1,0,U,mother,10
M,15,3,4,2,1,2,3,4,8,R,other,11
M,20,3,2,2,1,4,2,3,16,U,mother,10
M,19,2,3,4,0,2,3,1,6,R,father,13
M,21,0,4,4,2,4,4,5,15,R,other,10
F,17,4,1,2,0,1,2,1,12,R,father,8
F,18,0,0,2,2,2,2,2,23,R,father,9
M,18,1,3,1,0,4,2,1,17,R,mother,9
F,21,2,2,1,3,1,5,5,18,U,other,12
M,18,3,3,3,3,2,1,4,21,R,father,10
M,19,4,0,2,0,2,4,1,1,R,father,14
M,18,3,4,3,1,5,1,1,29,R,mother,11
M,20,4,2,1,0,2,2,3,9,U,mother,12
M,16,0,3,4,2,4,2,3,17,U,father,9
M,17,4,4,1,3,5,2,4,9,U,father,10
M,19,0,1,4,3,2,5,1,22,U,mother,11
F,21,3,0,4,3,1,4,4,17,U,other,8
F,16,4,0,3,1,2,5,2,7,R,father,13
M,19,0,1,3,1,4,1,1,7,R,father,14
F,19,1,0,3,0,1,3,5,23,U,other,8
M,18,3,1,4,3,1,5,5,4,U,other,11
M,18,4,0,3,3,1,5,4,3,U,mother,10
F,17,3,1,2,3,3,1,1,29,R,mother,11
M,21,3,0,3,2,1,5,5,24,R,mother,7
F,19,2,1,4,2,1,3,1,25,R,father,8
F,15,2,1,1,2,5,5,3,17,R,father,10
M,17,0,2,3,3,1,3,5,17,U,other,8
F,20,2,4,1,2,2,4,3,18,U,father,10
F,17,2,3,4,1,3,3,1,2,R,mother,13
F,16,3,3,3,0,2,2,5,21,U,father,12
M,16,1,4,2,0,3,5,2,19,R,mother,14
M,21,4,2,4,2,1,5,5,28,R,father,12
F,15,2,4,1,1,1,5,5,18,R,mother,12
M,15,0,3,2,2,5,1,4,16,R,father,12
F,21,1,1,3,1,2,4,5,24,R,mother,8
F,17,0,2,2,2,3,5,4,9,U,father,11
F,18,4,0,3,2,1,5,1,17,U,other,11
F,21,1,3,1,0,1,1,4,6,R,other,9
F,20,4,3,3,2,3,3,3,28,R,father,13
F,15,4,2,4,3,5,1,5,18,R,mother,9
M,16,3,1,2,2,5,2,2,25,R,father,8
F,15,1,0,4,1,1,5,4,10,R,other,10
M,15,4,3,1,0,2,5,4,11,R,other,9
M,21,4,2,1,0,4,4,4,13,U,mother,13
F,15,3,4,2,0,1,1,5,3,R,father,12
M,19,1,4,2,2,1,3,1,29,U,father,12
M,16,3,1,1,3,2,5,1,27,R,mother,9
F,20,4,0,4,3,3,1,2,13,R,father,9
F,16,1,4,3,1,2,5,2,27,R,other,11
M,19,4,2,4,0,1,2,5,10,R,father,13
M,16,2,2,3,2,1,2,4,11,R,other,13
F,15,4,3,2,1,3,2,4,11,R,father,10
M,19,0,2,3,3,2,1,1,5,U,mother,9
F,18,2,3,4,1,1,4,1,11,R,mother,14
F,17,2,2,2,3,4,2,3,14,U,mother,9
F,19,4,4,4,1,3,4,1,18,U,other,12
F,21,3,0,3,1,2,3,3,27,U,other,10
M,21,1,3,1,1,1,4,2,26,R,other,9
M,16,1,3,2,2,2,2,4,5,R,mother,13
M,16,4,3,4,1,4,5,2,13,U,other,11
M,15,0,1,1,0,1,3,4,22,U,other,9
M,17,3,0,3,1,2,2,3,3,R,mother,14
M,21,4,2,1,0,5,4,4,21,R,father,8
F,17,1,4,1,3,2,2,3,7,U,father,11
M,19,2,3,2,2,1,1,2,5,R,mother,8
M,16,1,0,4,0,5,4,1,2,U,mother,11
F,17,3,3,4,2,5,2,2,11,R,father,13
M,18,2,0,1,3,1,4,3,24,R,father,9
M,20,3,3,3,1,5,4,2,19,U,mother,11
F,20,4,1,4,0,1,3,2,6,U,mother,11
M,15,1,1,2,3,1,5,5,15,R,mother,11
M,21,4,2,4,0,1,2,3,22,U,mother,9
F,15,1,4,1,2,4,5,2,26,R,mother,10
M,20,3,1,1,0,4,2,5,21,U,father,9
F,21,3,3,3,3,4,2,5,4,U,other,11
F,15,0,0,3,0,4,2,2,10,R,father,12
M,15,0,2,4,1,1,2,1,26,U,mother,11
F,16,0,1,1,0,1,3,5,19,U,other,9
M,17,1,1,3,1,1,3,5,27,R,other,10
F,19,3,1,1,0,1,4,3,18,U,other,13
M,16,4,1,4,2,2,2,4,24,U,father,9
F,16,4,3,2,1,2,3,5,16,U,other,8
M,18,3,2,3,0,3,3,3,0,R,father,14
M,17,2,3,3,1,2,3,1,7,R,other,10
F,18,1,0,3,1,1,5,3,7,U,other,11
M,20,4,4,3,2,4,5,2,26,U,other,9
M,18,0,3,4,1,5,5,5,6,U,father,9
F,17,2,1,1,0,2,5,5,1,R,father,14
F,18,2,4,3,2,1,4,5,9,R,mother,12
F,17,3,2,4,0,3,2,5,2,U,mother,15
M,15,4,2,3,2,4,3,2,29,U,mother,10
F,18,3,3,1,2,2,5,4,29,R,father,11
M,18,0,1,4,2,4,1,1,7,U,other,11
M,17,2,4,2,1,1,4,5,17,R,father,10
M,21,3,0,4,3,3,5,4,16,U,other,10
F,21,2,1,3,0,3,2,5,16,U,mother,12
F,20,4,0,3,2,3,4,4,8,U,mother,9
M,16,2,3,3,2,5,5,3,9,R,other,7
M,18,4,3,3,3,2,3,2,5,U,father,13
M,20,1,1,4,0,3,5,2,18,R,other,11
M,16,0,0,2,0,4,1,2,17,U,other,13
M,21,0,2,1,2,4,4,4,24,U,mother,8
F,20,4,0,3,0,2,3,3,16,R,mother,9
M,17,1,2,3,3,2,3,2,24,U,father,8
M,19,3,0,1,0,4,5,2,6,U,other,13
F,20,4,2,3,2,4,3,4,12,U,father,13
F,19,3,1,1,1,4,4,4,8,U,mother,11
M,20,1,0,2,3,3,1,4,13,U,other,11
F,17,2,2,3,0,2,4,2,4,U,father,10
M,19,3,3,1,1,2,5,4,20,R,other,10
M,18,4,1,3,1,2,1,5,28,R,father,6
M,21,0,2,3,0,2,4,5,26,R,other,9
M,20,1,2,4,3,1,4,4,26,R,father,8
M,15,0,3,4,2,3,4,5,20,R,father,8
M,20,1,0,3,0,4,5,4,4,R,father,13
F,18,0,2,3,2,2,3,1,27,U,mother,7
M,21,4,4,4,2,2,4,1,5,R,father,9
F,19,1,4,2,3,4,4,3,5,U,mother,9
M,19,1,0,2,0,1,1,5,19,R,other,9
F,20,4,4,1,0,2,1,4,13,U,father,12
M,17,0,0,3,1,5,3,1,16,R,father,12
M,19,2,2,2,3,1,5,1,3,R,mother,8
F,20,4,1,4,3,4,4,3,11,R,other,12
M,17,2,1,3,0,1,3,1,24,U,mother,9
M,20,4,4,4,0,4,4,5,13,R,mother,17
F,21,3,3,3,0,4,4,1,18,U,father,14
F,21,0,3,3,3,5,5,1,0,U,other,10
M,17,0,0,2,1,4,1,5,11,R,mother,11
